lgid,lgtype,latitude,longitude,govname
01088,6,39.88,-104.8,Fronterra Village Metropolitan District
01090,6,39.98,-104.75,Bromley Park Metropolitan District No. 5
01091,6,39.99,-104.73,Bromley Park Metropolitan District No. 6
01092,6,39.89,-104.78,Reunion Metropolitan District
01093,6,39.89,-104.84,BNC Metropolitan District No. 1
01094,6,39.76,-104.35,Eastern Adams County Metropolitan District
01095,6,39.88,-104.97,Lambertson Lakes Metropolitan District
01096,6,39.89,-104.79,North Range Metropolitan District No. 1
01097,6,39.89,-104.79,North Range Metropolitan District No. 2
01099,6,39.91,-105.04,Bradburn Metropolitan District No. 2
01100,6,39.91,-105.04,Bradburn Metropolitan District No. 3
01102,7,39.83,-104.5,Bennett Park and Recreation District
01900,99,39.83,-104.97,Mapleton 1 School District
01901,99,39.93,-104.99,Adams 12 Five Star Schools
01902,99,39.84,-104.87,Adams County 14 School District
01910,99,39.83,-105.03,Westminster 50 School District
02001,1,37.47,-105.87,Alamosa County
02002,6,37.47,-105.88,Alamosa Mosquito Control District
02003,2,37.48,-105.89,"Alamosa, City of"
02004,12,37.47,-105.85,East Alamosa Water & Sanitation District
02005,5,37.75,-105.88,"Hooper, Town of"
02007,20,37.57,-105.79,Mosca-Hooper Conservation District
02011,19,37.68,-105.98,Alamosa County Weed Control District
02012,45,37.57,-105.78,Alamosa County Ambulance District
03001,1,39.61,-105.02,Arapahoe County
03006,6,39.6,-104.87,Arapahoe Lake Public Park District
03009,12,39.71,-104.21,Byers Water & Sanitation District
03012,6,39.59,-104.77,Chaparral Metropolitan District
03014,11,39.63,-104.88,Cherry Creek Village Water District
03015,7,39.61,-104.86,Cherry Creek Vista Park and Recreation District
03018,12,39.66,-104.96,Cherry Hills Heights Water & Sanitation District
03019,6,39.64,-104.93,Cherry Hills North Metropolitan District
03023,2,39.64,-104.95,"Cherry Hills Village, City of"
03024,6,39.66,-104.83,Heather Gardens Metropolitan District
03027,10,39.63,-104.97,Cherryvale Sanitation District
03028,10,39.64,-104.95,City of Cherry Hills Village Sanitation District
03029,5,39.6,-105.04,"Columbine Valley, Town of"
03030,12,39.6,-105.04,Columbine Water & Sanitation District
03031,6,39.65,-104.96,Country Homes Metropolitan District
03032,8,39.64,-104.8,Cunningham Fire Protection District
03033,5,39.61,-104.04,"Deer Trail, Town of"
03035,12,39.65,-104.95,Devonshire Heights Water & Sanitation District
03036,6,39.6,-104.74,East Arapahoe Metropolitan District
03038,12,39.62,-104.75,East Cherry Creek Valley Water & Sanitation District
03039,6,39.6,-104.83,East Valley Metropolitan District
03041,2,39.65,-105,"Englewood, City of"
03043,2,39.7,-104.94,"Glendale, City of"
03046,6,39.62,-104.9,Greenwood North Metropolitan District
03051,2,39.62,-104.92,"Greenwood Village, City of"
03052,12,39.61,-104.86,Havana Water & Sanitation District
03053,6,39.57,-104.93,Heritage Greens Metropolitan District
03054,12,39.67,-104.93,Hi-Lin Water & Sanitation District
03055,12,39.64,-104.93,Hillcrest Water & Sanitation District
03056,6,39.59,-104.93,Liberty Hill Metropolitan District
03057,12,39.64,-104.94,Mansfield Heights Water & Sanitation District
03059,7,39.61,-104.88,Orchard Hills Metropolitan Recreation & Park District
03061,10,39.62,-104.98,South Englewood Sanitation District No. 1
03063,10,39.65,-105.02,Sheridan Sanitation District
03064,10,39.65,-105.02,Sheridan Sanitation District No. 2
03065,2,39.65,-105.04,"Sheridan, City of"
03066,8,39.67,-104.92,Skyline Fire Protection District
03067,6,39.62,-104.78,Smoky Hill Metropolitan District
03070,10,39.58,-104.96,South Arapahoe Sanitation District
03072,11,39.59,-104.96,South-East Englewood Water District
03073,6,39.57,-104.95,Southern Metropolitan District
03075,6,39.59,-104.92,Suburban Metropolitan District
03076,6,39.61,-104.87,Sundance Hills Metropolitan District
03080,20,39.64,-104.7,West Arapahoe Conservation District
03081,11,39.58,-104.92,Willows Water District
03085,6,39.61,-104.89,Orchard Valley Metropolitan District
03086,6,39.58,-104.88,Panorama Metropolitan District
03087,7,39.62,-104.75,Trails Park and Recreation District
03091,6,39.62,-105.02,Centennial Downs Metropolitan District
03092,6,39.57,-104.88,Highland Park Metropolitan District
03095,6,39.72,-104.8,Aurora Centretech Metropolitan District
03097,6,39.58,-104.83,Dove Valley Metropolitan District
03098,6,39.59,-104.88,Southgate at Centennial Metropolitan District
03103,6,39.58,-104.8,Parker Jordan Metropolitan District
03105,12,39.68,-104.89,Cherry Creek Valley Water & Sanitation
03107,6,39.61,-104.77,Columbia Metropolitan District
03108,6,39.65,-104.88,Galleria Metropolitan District
03110,6,39.61,-104.6,Rangeview Metropolitan District
03117,13,39.61,-104.83,Arapahoe County Recreation District
03119,31,39.57,-104.91,Foxridge General Improvement District
03125,31,39.59,-104.9,Walnut Hills General Improvement District
03128,31,39.6,-104.92,Cherry Park General Improvement District
03129,6,39.6,-104.78,Goodman Metropolitan District
03130,6,39.62,-104.73,East Smoky Hill Metropolitan District No. 1
03131,6,39.61,-104.72,East Smoky Hill Metropolitan District No. 2
03132,6,39.6,-104.75,Liverpool Metropolitan District
03134,5,39.59,-104.78,"Foxfield, Town of"
03137,6,39.59,-104.74,Saddle Rock South Metropolitan District No. 2
03138,6,39.59,-104.73,Saddle Rock South Metropolitan District No. 3
03140,6,39.6,-104.73,Saddle Rock Metropolitan District
03144,57,39.57,-105,Highline Business Improvement District
03145,6,39.63,-104.75,Willow Trace Metropolitan District
03147,6,39.57,-104.72,Eagle Bend Metropolitan District
03149,6,39.67,-104.72,Murphy Creek Metropolitan District No. 1
03150,6,39.68,-104.72,Murphy Creek Metropolitan District No. 2
03151,6,39.69,-104.71,Murphy Creek Metropolitan District No. 3
03153,6,39.59,-104.72,Saddle Rock South Metropolitan District No. 4
03155,6,39.59,-104.7,Tallyn's Reach Metropolitan District No. 2
03156,6,39.59,-104.7,Tallyn's Reach Metropolitan District No. 3
03159,10,39.63,-104.89,Goldsmith Gulch Sanitation District
03160,6,39.67,-104.77,Sterling Hills West Metropolitan District
03161,6,39.65,-104.73,East Quincy Highlands Metropolitan District
03162,57,39.6,-104.89,Fiddlers Business Improvement District
03163,2,39.59,-104.87,"Centennial, City of"
03164,57,39.58,-105.03,Aspen Grove Business Improvement District
03165,6,39.61,-104.8,Piney Creek Village Metropolitan District
03903,99,39.62,-104.79,Cherry Creek 5 School District
03905,99,39.65,-104.99,Englewood 1 School District
03906,99,39.59,-104.99,Littleton 6 School District
03907,99,39.65,-105.02,Sheridan 2 School District
04001,1,37.27,-107.01,Archuleta County
04003,12,37.26,-107.04,Pagosa Area Water & Sanitation District
04004,8,37.17,-106.89,Pagosa Fire Protection District
04006,2,37.27,-107.03,"Pagosa Springs, Town of"
04008,20,37.29,-107.1,San Juan Conservation District
04009,16,37.19,-107.05,Upper San Juan Library District
04014,6,37.34,-106.95,San Juan River Village Metropolitan District
04015,6,37.26,-107.05,Alpha-Rockridge Metropolitan District
04018,6,37.18,-106.98,Loma Linda Metropolitan District
05001,1,37.41,-102.61,Baca County
05003,5,37.1,-102.58,"Campo, Town of"
05006,5,37.37,-102.86,"Pritchett, Town of"
05007,20,37.32,-102.56,Baca County Conservation District
05008,9,37.36,-102.78,Southeast Colorado Hospital District
05010,7,37.4,-102.65,Springfield Metropolitan Recreation District
05011,5,37.4,-102.63,"Springfield, Town of"
05014,7,37.57,-102.42,Two Buttes Metropolitan Recreation & Park District
05016,5,37.56,-102.4,"Two Buttes, Town of"
05018,7,37.34,-102.43,Vilas Metropolitan Recreation District
05019,5,37.37,-102.45,"Vilas, Town of"
05021,9,37.36,-102.26,Walsh Hospital District
05022,7,37.31,-102.19,Walsh Metropolitan Recreation District
05023,5,37.39,-102.28,"Walsh, Town of"
05026,7,37.09,-102.6,Campo Park & Recreation District
05900,99,37.33,-102.2,Walsh RE-1 School District
05901,99,37.34,-102.94,Pritchett RE-3 School District
05902,99,37.43,-102.62,Springfield RE-4 School District
05903,99,37.34,-102.43,Vilas RE-5 School District
05904,99,37.09,-102.6,Campo RE-6 School District
06001,1,38.07,-103.24,Bent County
06003,20,37.95,-103.09,Bent Conservation District
06004,8,38.12,-102.92,Hasty-McClave Fire Protection District
06005,4,38.07,-103.22,"Las Animas, City of"
06006,8,38.06,-103.24,Las Animas-Bent County Fire Protection District
06007,16,37.94,-103.21,Las Animas-Bent County Library District
06900,99,37.94,-103.21,Las Animas RE-1 School District
06901,99,37.96,-102.9,McClave RE-2 School District
07001,12,40.2,-105.53,Allenspark Water & Sanitation District
07002,11,40,-105.17,Baseline Water District
07003,1,40.01,-105.29,Boulder County
07006,2,40.03,-105.25,"Boulder, City of"
07007,12,40.05,-105.09,Brownsville Water & Sanitation District
07008,28,40.02,-105.28,Central Area General Improvement District
07011,8,40.04,-105.39,Four Mile Fire Protection District
07012,8,40.06,-105.43,Gold Hill Fire Protection District
07013,7,40.08,-105.18,Gunbarrel Estates Metropolitan Recreation and Park District
07015,12,40.01,-105.2,Hoover Hill Water & Sanitation District
07016,8,40.2,-105.2,Hygiene Fire Protection District
07017,8,40.08,-105.56,Indian Peaks Fire Protection District
07018,5,40.12,-105.39,"Jamestown, Town of"
07020,2,39.99,-105.1,"Lafayette, City of"
07021,12,39.94,-105.58,Lake Eldora Water & Sanitation District
07022,8,40.13,-105.36,Left Hand Fire Protection District
07023,12,40.14,-105.29,Left Hand Water & Sanitation District
07024,28,40.17,-105.1,Longmont General Improvement District No. 1
07027,8,39.98,-105.13,Louisville Fire Protection District
07029,2,39.97,-105.14,"Louisville, City of"
07032,5,40.22,-105.27,"Lyons, Town of"
07033,5,39.96,-105.5,"Nederland, Town of"
07034,10,40.1,-105.16,Niwot Sanitation District
07035,11,40.1,-105.31,Olde Stage Water District
07037,11,40.05,-105.31,Pine Brook Water District
07038,12,40.01,-105.14,Shannon Water and Sanitation District
07039,8,40.06,-105.35,Sunshine Fire Protection District
07041,28,40.01,-105.28,University Hills General Improvement District
07042,2,40.07,-105.51,"Ward, Town of"
07045,6,40.09,-105.25,Fairways Metropolitan District
07047,6,39.97,-105.12,Colorado Tech Center Metropolitan District
07049,8,39.99,-105.08,Lafayette Rural Fire Protection District
07050,8,40.01,-105.41,Sugar Loaf Fire Protection District
07053,26,40.16,-105.1,Longmont Downtown Development Authority
07057,8,40.07,-105.24,Boulder Rural Fire Protection District
07059,8,39.97,-105.58,Nederland Fire Protection District
07060,6,39.92,-105.13,Interlocken Consolidated Metropolitan District
07061,31,40.06,-105.19,Boulder County Gunbarrel General Improvement District
07064,28,39.99,-105.09,Lafayette City Center General Improvement District
07066,6,39.93,-105.14,MidCities Metropolitan District No. 2
07068,6,39.93,-105.12,Broomfield Village Metropolitan District No. 2
07071,11,39.98,-105.18,East Boulder County Water District
07072,28,39.98,-105.09,Lafayette Tech Center General Improvement District
07073,57,40.02,-105.28,Downtown Boulder Business Improvement District
07074,6,39.95,-105.17,Superior/McCaslin Interchange Metropolitan District
07075,57,39.98,-105.13,Main Street Louisville Business Improvement District
07077,28,40.05,-105.28,City of Boulder Forest Glen Transit Pass General Improvement Dist.
08001,10,38.83,-106.14,Buena Vista Sanitation District
08002,5,38.83,-106.14,"Buena Vista, Town of"
08003,1,38.54,-105.98,Chaffee County
08004,8,38.75,-106.2,Chaffee County Fire Protection District
08005,16,38.84,-106.23,Northern Chaffee County Library District
08006,5,38.51,-106.09,"Poncha Springs, Town of"
08007,4,38.53,-106,"Salida, City of"
08009,16,38.55,-106.11,Southern Chaffee County Regional Library District
08900,99,38.84,-106.23,Buena Vista R-31 School District
09002,1,38.82,-102.33,Cheyenne County
09003,8,38.83,-102.33,No. 1 Fire Protection District
09005,7,38.82,-102.35,Cheyenne Wells Metropolitan Recreation District
09006,10,38.82,-102.35,Cheyenne Wells Sanitation District No. 1
09007,5,38.82,-102.35,"Cheyenne Wells, Town of"
09013,5,38.76,-102.8,"Kit Carson, Town of"
09014,8,38.83,-102.89,West Cheyenne Fire Protection District
09016,20,38.84,-102.56,Cheyenne Conservation District
09021,16,38.83,-102.32,East Cheyenne County Library District
09900,99,38.83,-102.89,Kit Carson R-1 School District
09901,99,38.83,-102.33,Cheyenne County RE-5 School District
10001,10,39.77,-105.61,Central Clear Creek Sanitation District
10002,10,39.73,-105.54,Chicago Creek Sanitation District
10003,1,39.71,-105.71,Clear Creek County
10004,7,39.7,-105.67,Clear Creek Metropolitan Recreation District
10005,5,39.76,-105.67,"Empire, Town of"
10007,3,39.72,-105.69,"Georgetown, Town of"
10008,4,39.74,-105.5,"Idaho Springs, City of"
10009,5,39.7,-105.73,"Silver Plume, Town of"
10010,6,39.82,-105.65,St. Mary's Glacier Metropolitan District
10011,12,39.82,-105.65,St. Mary's Glacier Water & Sanitation District
10012,31,39.7,-105.67,Clear Creek County Emergency Services General Improvement District
10013,6,39.73,-105.44,Saddleback Metropolitan District
10014,47,39.7,-105.67,Clear Creek Fire Authority
10900,99,39.69,-105.64,Clear Creek RE-1 School District
11001,5,37.08,-106,"Antonito, Town of"
11004,1,37.09,-106.02,Conejos County
11006,20,37.2,-106.19,Conejos County Conservation District
11009,5,37.27,-105.96,"La Jara, Town of"
11010,5,37.17,-105.94,"Manassa, Town of"
11012,8,37.29,-105.83,Northeast Conejos County Fire Protection District
11013,5,37.17,-105.98,"Romeo, Town of"
11016,2,37.26,-105.9,"Sanford, Town of"
11017,8,37.06,-105.99,South Conejos Fire Protection District
11019,12,37.29,-106.11,Capulin Water & Sanitation District
11903,99,37.09,-106.2,South Conejos RE-10 School District
12001,5,37.44,-105.51,"Blanca, Town of"
12002,6,37.45,-105.4,Blanca/Fort Garland Metropolitan District
12003,1,37.2,-105.4,Costilla County
12004,43,37.28,-105.43,Costilla County Conservancy District
12005,8,37.28,-105.44,Costilla County Fire Protection District
12006,20,37.28,-105.43,Costilla Conservation District
12008,12,37.2,-105.42,San Luis Water & Sanitation
12009,5,37.2,-105.42,"San Luis, Town of"
12900,99,37.14,-105.45,Centennial R-1 School District
12901,99,37.44,-105.4,Sierra Grande R-30 School District
13001,1,38.22,-103.78,Crowley County
13002,5,38.19,-103.86,"Crowley, Town of"
13004,5,38.17,-103.94,"Olney Springs, Town of"
13005,20,38.36,-104.07,Olney-Boone Conservation District
13006,5,38.22,-103.76,"Ordway, Town of"
13007,5,38.23,-103.66,"Sugar City, Town of"
14001,1,38.14,-105.49,Custer County
14002,20,38.1,-105.37,Custer County Conservation District
14003,12,38.13,-105.41,Round Mountain Water & Sanitation District
14004,5,38.12,-105.41,"Silver Cliff, Town of"
14005,5,38.13,-105.47,"Westcliffe, Town of"
14006,8,38.11,-105.38,Wet Mountain Fire Protection District
14008,9,38.11,-105.43,West Custer County Hospital District
14009,16,38.11,-105.44,West Custer County Library District
14900,99,38.1,-105.39,Consolidated C-1 School District
15001,11,38.81,-107.64,Bone Mesa Domestic Water District
15002,15,38.96,-107.94,Cedaredge Cemetery District
15003,2,38.89,-107.93,"Cedaredge, Town of"
15004,15,38.79,-107.97,Cory Cemetery District
15005,5,38.71,-107.61,"Crawford, Town of"
15006,1,38.74,-108.07,Delta County
15008,8,38.85,-107.6,Delta County Fire Protection District No. 2
15009,8,38.93,-107.95,Delta County Fire Protection District No. 3
15010,8,38.83,-107.77,Delta County Fire Protection District No. 4
15012,9,38.86,-107.86,Delta County Memorial Hospital District
15013,6,38.73,-108.06,Delta County Mosquito Control District No. 1
15014,8,38.76,-108.12,Delta County Fire Protection District No. 1
15015,2,38.76,-108.09,"Delta, City of"
15016,15,38.85,-107.97,Eckert Cemetery District
15017,18,38.92,-107.97,Grand Mesa Water Conservancy District
15018,15,38.83,-107.77,Hotchkiss Cemetery District
15020,5,38.8,-107.71,"Hotchkiss, Town of"
15022,5,38.81,-107.97,"Orchard City, Town of"
15023,15,38.84,-107.58,Paonia Cemetery District
15024,6,38.85,-107.61,North Fork Mosquito Abatement District
15025,5,38.87,-107.58,"Paonia, Town of"
15029,7,38.89,-107.63,"North Fork Pool, Park & Recreation District"
15032,45,38.86,-107.98,Delta County Ambulance District
16002,61,39.74,-104.99,Denver County
16010,6,39.79,-104.76,Ebert Metropolitan District
16011,6,39.78,-104.75,GVR Metropolitan District
16012,6,39.79,-104.76,Town Center Metropolitan District
16014,6,39.7,-104.89,Fairlake Metropolitan District
16015,57,39.72,-104.95,Cherry Creek North Business Improvement District No. 1
16017,57,39.74,-104.97,Colfax Business Improvement District
16019,57,39.7,-104.96,Old South Gaylord Business Improvement District
16022,57,39.75,-104.99,Downtown Denver Business Improvement District
16023,57,39.75,-105.01,Cherry Creek Subarea Business Improvement District
16024,28,39.79,-104.82,Gateway Village General Improvement District
16025,6,39.82,-104.77,Denver International Business Center Metropolitan District No. 1
16026,6,39.81,-104.77,Denver Gateway Center Metropolitan District
16027,6,39.76,-105,Central Platte Valley Metropolitan District
16028,6,39.78,-104.87,Prologis Central Park Business Center Metropolitan District
16029,6,39.81,-104.77,Gateway Regional Metropolitan District
16032,6,39.78,-104.88,Park Creek Metropolitan District
16033,6,39.78,-104.88,Westerly Creek Metropolitan District
16900,99,39.76,-104.88,Denver County 1 School District
17002,1,37.77,-108.9,Dolores County
17003,5,37.77,-108.92,"Dove Creek, Town of"
17004,8,37.74,-108.93,Dove Creek Fire Protection District
17006,20,37.75,-108.52,Dove Creek Conservation District
17007,2,37.69,-108.03,"Rico, Town of"
17011,8,37.69,-108.03,Rico Fire Protection District
18001,6,39.44,-104.9,Castle Pines Metropolitan District
18003,2,39.38,-104.84,"Castle Rock, Town of"
18004,12,39.41,-104.87,Castleton Center Water & Sanitation District
18005,15,39.33,-104.84,Cedar Hill Cemetery Association
18006,12,39.56,-104.79,Cottonwood Water & Sanitation District
18007,12,39.45,-104.75,Denver Southeast Suburban Water & Sanitation District
18008,1,39.37,-104.86,Douglas County
18009,24,39.32,-104.94,Douglas County Law Enforcement Authority
18010,20,39.33,-104.93,Douglas County Conservation District
18011,8,39.29,-104.73,Franktown Fire Protection District
18015,12,39.54,-104.94,Northern Douglas County Water & Sanitation District
18018,6,39.52,-105.05,Mirabelle Metropolitan District No. 1
18019,8,39.34,-104.98,Jackson-105 Fire Protection District
18021,2,39.23,-104.89,"Larkspur, Town of"
18024,7,39.52,-104.9,McArthur Ranch Metropolitan Recreation District
18025,12,39.54,-104.97,Highlands Ranch Water and Sanitation District
18027,12,39.5,-104.8,Parker Water & Sanitation District
18028,2,39.51,-104.78,"Parker, Town of"
18029,6,39.25,-104.99,Perry Park Metropolitan District
18030,12,39.25,-104.96,Perry Park Water & Sanitation District
18031,12,39.49,-105.1,Roxborough Water and Sanitation District
18032,12,39.42,-104.87,Silver Heights Water & Sanitation District
18033,12,39.41,-105.03,Thunderbird Water & Sanitation District
18034,8,39.4,-105.02,West Douglas County Fire Protection District
18035,11,39.14,-105.16,Westcreek Lakes Water District
18036,6,39.56,-104.8,Cottonwood Metropolitan District
18038,12,39.46,-104.98,Sedalia Water & Sanitation District
18039,6,39.55,-104.89,Park Meadows Metropolitan District
18042,6,39.54,-104.8,Stonegate North Villages Metropolitan District
18043,6,39.53,-104.8,Stonegate Village Metropolitan District
18044,6,39.47,-104.9,Castle Pines North Metropolitan District
18045,6,39.37,-104.81,Founders Village Metropolitan District
18046,6,39.36,-104.8,Castlewood Ranch Metropolitan District
18050,6,39.42,-104.79,Villages At Castle Rock Metropolitan District No. 6
18053,6,39.49,-104.77,Cherry Creek South Metropolitan District No. 1
18054,6,39.49,-104.78,Anthology West Metropolitan District No. 2
18055,6,39.48,-105.08,Roxborough Village Metropolitan District
18056,6,39.41,-104.91,Meadows Metropolitan District No. 1
18057,6,39.39,-104.91,Meadows Metropolitan District No. 2
18058,6,39.4,-104.88,Meadows Metropolitan District No. 3
18059,6,39.39,-104.89,Meadows Metropolitan District No. 4
18060,6,39.41,-104.89,Meadows Metropolitan District No. 5
18061,6,39.4,-104.9,Meadows Metropolitan District No. 6
18062,6,39.38,-104.9,Meadows Metropolitan District No. 7
18070,6,39.33,-104.91,Dawson Trails Metropolitan District No. 1
18071,6,39.33,-104.9,Dawson Trails Metropolitan District No. 2
18072,6,39.32,-104.89,Dawson Trails Metropolitan District No. 3
18073,6,39.32,-104.91,Dawson Trails Metropolitan District No. 4
18074,6,39.33,-104.88,Dawson Trails Metropolitan District No. 5
18077,6,39.34,-104.88,Dawson Trails Metropolitan District No. 6
18078,6,39.35,-104.88,Dawson Trails Metropolitan District No. 7
18079,6,39.37,-104.83,Villages At Castle Rock Metropolitan District No. 9
18082,6,39.33,-104.84,Crystal Valley Metropolitan District No. 2
18083,6,39.44,-104.73,High Prairie Farms Metropolitan District
18086,6,39.41,-104.88,Castle Pines Commercial Metropolitan District No. 3
18087,6,39.41,-104.87,Castle Pines Commercial Metropolitan District No. 4
18092,6,39.43,-104.85,Maher Ranch Metropolitan District No. 4
18095,16,39.33,-104.93,Douglas County Libraries
18097,8,39.22,-104.89,Larkspur Fire Protection District
18099,31,39.16,-104.93,Douglas County Woodmoor Mountain General Improvement District
18102,6,39.49,-104.89,Hidden Pointe Metropolitan District
18103,6,39.51,-104.72,Canterberry Crossing Metropolitan District
18104,2,39.53,-104.86,"Lone Tree, City of"
18105,6,39.54,-104.88,Heritage Hills Metropolitan District
18106,6,39.54,-104.87,OmniPark Metropolitan District
18108,11,39.52,-105.06,Chatfield South Water District
18109,6,39.56,-104.82,Compark Business Campus Metropolitan District
18110,6,39.3,-104.87,Consolidated Bell Mountain Ranch Metropolitan District
18112,6,39.44,-104.79,Pinery West Metropolitan District No. 2
18116,6,39.53,-104.85,South Meridian Metropolitan District
18117,6,39.56,-104.83,Concord Metropolitan District
18120,6,39.39,-104.75,Franktown Business Area Metropolitan District
18122,6,39.5,-104.72,Canterberry Crossing Metropolitan District II
18124,6,39.39,-104.82,Castle Oaks Metropolitan District
18125,6,39.53,-104.84,Rampart Range Metropolitan District No. 1
18126,6,39.53,-104.88,Rampart Range Metropolitan District No. 2
18127,6,39.51,-104.88,Rampart Range Metropolitan District No. 3
18128,6,39.52,-104.85,Rampart Range Metropolitan District No. 4
18129,6,39.52,-104.86,Rampart Range Metropolitan District No. 5
18130,6,39.51,-104.86,Rampart Range Metropolitan District No. 6
19001,6,39.62,-106.56,Arrowhead Metropolitan District
19003,2,39.64,-106.51,"Avon, Town of"
19004,6,39.61,-106.52,Beaver Creek Metropolitan District
19005,6,39.66,-106.67,Bellyache Ridge Metropolitan District
19006,6,39.65,-106.57,Berry Creek Metropolitan District
19008,15,39.64,-107,Cedar Hill Cemetery Association District
19009,5,39.64,-106.81,"Eagle, Town of"
19010,15,39.59,-106.77,Eagle Cemetery District
19011,1,39.65,-106.83,Eagle County
19015,6,39.62,-106.49,Eagle-Vail Metropolitan District
19016,6,39.65,-106.6,Edwards Metropolitan District
19018,8,39.65,-106.78,Greater Eagle Fire Protection District
19020,2,39.63,-106.93,"Gypsum, Town of"
19021,6,39.62,-106.62,Lake Creek Metropolitan District
19023,15,39.68,-106.37,Minturn Cemetery Association
19024,2,39.55,-106.39,"Minturn, Town of"
19026,5,39.51,-106.37,"Red Cliff, Town of"
19032,7,39.64,-106.37,Vail Park & Recreation District
19038,2,39.64,-106.35,"Vail, Town of"
19039,7,39.74,-106.84,Mountain Recreation Metropolitan District
19040,9,39.66,-106.67,Eagle County Health Service District
19044,6,39.64,-106.4,Cascade Village Metropolitan District
19051,6,39.63,-106.96,Cotton Ranch Metropolitan District
19052,16,39.66,-106.67,Eagle Valley Library District
19053,6,39.62,-106.54,Bachelor Gulch Metropolitan District
19056,6,39.79,-106.71,Horse Mountain Ranch Metropolitan District
19057,12,39.62,-106.51,Eagle River Water and Sanitation District
19059,6,39.65,-107.07,Two Rivers Metropolitan District
19060,6,39.64,-106.51,Traer Creek Metropolitan District
19061,6,39.63,-106.48,Village Metropolitan District
19062,6,39.63,-106.53,Avon Station Metropolitan District
19063,6,39.63,-106.53,Confluence Metropolitan District
19065,6,39.63,-106.81,Eagle Ranch Metropolitan District
19069,6,39.63,-106.9,Buckhorn Valley Metropolitan District No. 1
19070,6,39.63,-106.9,Buckhorn Valley Metropolitan District No. 2
19071,8,39.59,-106.51,Eagle River Fire Protection District
19072,6,39.64,-106.53,Mountain Vista Metropolitan District
19073,6,39.69,-106.69,Holland Creek Metropolitan District
19074,6,39.69,-106.69,Red Sky Ranch Metropolitan District
20001,1,39.35,-104.44,Elbert County
20002,12,39.22,-104.54,Elbert Water and Sanitation District
20003,8,39.37,-104.6,Elizabeth Fire Protection District
20004,5,39.36,-104.61,"Elizabeth, Town of"
20005,2,39.34,-104.46,"Kiowa, Town of"
20006,5,39.14,-104.08,"Simla, Town of"
20008,8,39.52,-104.56,Rattlesnake Fire Protection District
20009,8,39.38,-104.36,Kiowa Fire Protection District
20010,7,39.41,-104.59,Elizabeth Park & Recreation District
20011,8,39.44,-104.21,North Central Fire Protection District
20012,6,39.56,-104.65,Clearwater Metropolitan District
20013,6,39.55,-104.64,North Pines Metropolitan District
20015,16,39.29,-104.14,Elbert County Library District
20901,99,39.41,-104.57,Elizabeth C-1 School District
20902,99,39.37,-104.34,Kiowa C-2 School District
20904,99,39.2,-104.51,Elbert 200 School District
